Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1999-00,NBA,Los Angeles Lakers,S. O'Neal,28.0,Los Angeles Lakers,United States,"E. Brand, S. Francis",21.0,Chicago Bulls,United States,S. O'Neal,2344,28,Los Angeles Lakers,United States,D. Mutombo,1157.0,34.0,Atlanta Hawks,Democratic Republic of the Congo,G. Payton,732,32,Seattle Supersonics,United States,S. O'Neal,18.0,28,Los Angeles Lakers,United States
1998-99,NBA,San Antonio Spurs,K. Malone,36.0,Utah Jazz,United States,V. Carter,22.0,Toronto Raptors,United States,S. O'Neal,1289,27,Los Angeles Lakers,United States,D. Mutombo,610.0,33.0,Atlanta Hawks,Democratic Republic of the Congo,J. Kidd,539,26,Phoenix Suns,United States,K. Malone,9.0,36,Utah Jazz,United States
1997-98,NBA,Chicago Bulls,M. Jordan,35.0,Chicago Bulls,United States,T. Duncan,22.0,San Antonio Spurs,U.S. Virgin Islands,M. Jordan,2357,35,Chicago Bulls,United States,D. Rodman,1201.0,37.0,Chicago Bulls,United States,R. Strickland,801,32,Washington Wizards,United States,K. Malone,16.0,35,Utah Jazz,United States
1996-97,NBA,Chicago Bulls,K. Malone,34.0,Utah Jazz,United States,A. Iverson,22.0,Philadelphia 76ers,United States,M. Jordan,2431,34,Chicago Bulls,United States,D. Mutombo,929.0,31.0,Atlanta Hawks,Democratic Republic of the Congo,M. Jackson,935,32,Multiple Teams,United States,M. Jordan,18.0,34,Chicago Bulls,United States
1995-96,NBA,Chicago Bulls,M. Jordan,33.0,Chicago Bulls,United States,D. Stoudamire,23.0,Toronto Raptors,United States,M. Jordan,2491,33,Chicago Bulls,United States,D. Robinson,1000.0,31.0,San Antonio Spurs,United States,J. Stockton,916,34,Utah Jazz,United States,M. Jordan,20.0,33,Chicago Bulls,United States
1994-95,NBA,Houston Rockets,D. Robinson,30.0,San Antonio Spurs,United States,"G. Hill, J. Kidd",23.0,Detroit Pistons,United States,S. O'Neal,2315,23,Orlando Magic,United States,D. Mutombo,1029.0,29.0,Denver Nuggets,Democratic Republic of the Congo,J. Stockton,1011,33,Utah Jazz,United States,D. Robinson,17.0,30,San Antonio Spurs,United States
1993-94,NBA,Houston Rockets,H. Olajuwon,31.0,Houston Rockets,Nigeria,C. Webber,21.0,Golden State Warriors,United States,D. Robinson,2383,29,San Antonio Spurs,United States,D. Rodman,1367.0,33.0,San Antonio Spurs,United States,J. Stockton,1031,32,Utah Jazz,United States,D. Robinson,20.0,29,San Antonio Spurs,United States
1992-93,NBA,Chicago Bulls,C. Barkley,30.0,Phoenix Suns,United States,S. O'Neal,21.0,Orlando Magic,United States,M. Jordan,2541,30,Chicago Bulls,United States,D. Rodman,1132.0,32.0,Detroit Pistons,United States,J. Stockton,987,31,Utah Jazz,United States,M. Jordan,17.0,30,Chicago Bulls,United States
1991-92,NBA,Chicago Bulls,M. Jordan,29.0,Chicago Bulls,United States,L. Johnson,23.0,Charlotte Hornets,United States,M. Jordan,2404,29,Chicago Bulls,United States,D. Rodman,1530.0,31.0,Detroit Pistons,United States,J. Stockton,1126,30,Utah Jazz,United States,M. Jordan,17.0,29,Chicago Bulls,United States
1990-91,NBA,Chicago Bulls,M. Jordan,28.0,Chicago Bulls,United States,D. Coleman,24.0,New Jersey Nets,United States,M. Jordan,2580,28,Chicago Bulls,United States,D. Robinson,1063.0,26.0,San Antonio Spurs,United States,J. Stockton,1164,29,Utah Jazz,United States,M. Jordan,20.0,28,Chicago Bulls,United States
1989-90,NBA,Detroit Pistons,M. Johnson,31.0,Los Angeles Lakers,United States,D. Robinson,25.0,San Antonio Spurs,United States,M. Jordan,2753,27,Chicago Bulls,United States,H. Olajuwon,1149.0,27.0,Houston Rockets,Nigeria,J. Stockton,1134,28,Utah Jazz,United States,M. Jordan,19.0,27,Chicago Bulls,United States
1988-89,NBA,Detroit Pistons,M. Johnson,30.0,Los Angeles Lakers,United States,M. Richmond,24.0,Golden State Warriors,United States,M. Jordan,2633,26,Chicago Bulls,United States,H. Olajuwon,1105.0,26.0,Houston Rockets,Nigeria,J. Stockton,1118,27,Utah Jazz,United States,M. Jordan,19.0,26,Chicago Bulls,United States
1987-88,NBA,Los Angeles Lakers,M. Jordan,25.0,Chicago Bulls,United States,M. Jackson,23.0,New York Knicks,United States,M. Jordan,2868,25,Chicago Bulls,United States,C. Oakley,1066.0,25.0,Chicago Bulls,United States,J. Stockton,1128,26,Utah Jazz,United States,M. Jordan,21.0,25,Chicago Bulls,United States
1986-87,NBA,Los Angeles Lakers,M. Johnson,28.0,Los Angeles Lakers,United States,C. Person,23.0,Indiana Pacers,United States,M. Jordan,3041,24,Chicago Bulls,United States,C. Oakley,1074.0,24.0,Chicago Bulls,United States,M. Johnson,977,28,Los Angeles Lakers,United States,M. Jordan,16.0,24,Chicago Bulls,United States
1985-86,NBA,Boston Celtics,L. Bird,30.0,Boston Celtics,United States,P. Ewing,24.0,New York Knicks,Jamaica,A. English,2414,32,Denver Nuggets,United States,B. Laimbeer,1075.0,29.0,Detroit Pistons,United States,M. Johnson,907,27,Los Angeles Lakers,United States,L. Bird,15.0,30,Boston Celtics,United States
1984-85,NBA,Los Angeles Lakers,L. Bird,29.0,Boston Celtics,United States,M. Jordan,22.0,Chicago Bulls,United States,M. Jordan,2313,22,Chicago Bulls,United States,M. Malone,1031.0,30.0,Philadelphia 76ers,United States,I. Thomas,1123,24,Detroit Pistons,United States,L. Bird,15.0,29,Boston Celtics,United States
