Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1964-65,NBA,Boston Celtics,B. Russell,31.0,BOS,United States,W. Reed,23.0,NYK,United States,W. Chamberlain,2534,29,PHW,United States,B. Russell,1878.0,31.0,BOS,United States,O. Robertson,861,27,CIN,United States,O. Robertson,17.0,27,CIN,United States
1963-64,NBA,Boston Celtics,O. Robertson,26.0,CIN,United States,J. Lucas,24.0,CIN,United States,W. Chamberlain,2948,28,PHW,United States,B. Russell,1930.0,30.0,BOS,United States,O. Robertson,868,26,CIN,United States,W. Chamberlain,25.0,28,PHW,United States
1962-63,NBA,Boston Celtics,B. Russell,29.0,BOS,United States,T. Dischinger,23.0,CHZ,United States,W. Chamberlain,3586,27,PHW,United States,W. Chamberlain,1946.0,27.0,PHW,United States,G. Rodgers,825,28,PHW,United States,W. Chamberlain,20.0,27,PHW,United States
1961-62,NBA,Boston Celtics,B. Russell,28.0,BOS,United States,W. Bellamy,23.0,CHP,United States,W. Chamberlain,4029,26,PHW,United States,W. Chamberlain,2052.0,26.0,PHW,United States,O. Robertson,899,24,CIN,United States,W. Chamberlain,23.0,26,PHW,United States
1960-61,NBA,Boston Celtics,B. Russell,27.0,BOS,United States,O. Robertson,23.0,CIN,United States,W. Chamberlain,3033,25,PHW,United States,W. Chamberlain,2149.0,25.0,PHW,United States,O. Robertson,690,23,CIN,United States,W. Chamberlain,18.0,25,PHW,United States
1959-60,NBA,Boston Celtics,W. Chamberlain,24.0,PHW,United States,W. Chamberlain,24.0,PHW,United States,W. Chamberlain,2707,24,PHW,United States,W. Chamberlain,1941.0,24.0,PHW,United States,B. Cousy,715,32,BOS,United States,W. Chamberlain,17.0,24,PHW,United States
1958-59,NBA,Boston Celtics,B. Pettit,27.0,MLH,United States,E. Baylor,25.0,MNL,United States,B. Pettit,2105,27,MLH,United States,B. Russell,1612.0,25.0,BOS,United States,B. Cousy,557,31,BOS,United States,B. Pettit,14.0,27,MLH,United States
1957-58,NBA,St. Louis Hawks,B. Russell,24.0,BOS,United States,W. Sauldsberry,24.0,PHW,United States,G. Yardley,2001,30,FTW,United States,B. Russell,1564.0,24.0,BOS,United States,B. Cousy,463,30,BOS,United States,D. Schayes,13.0,30,SYR,United States
1956-57,NBA,Boston Celtics,B. Cousy,29.0,BOS,United States,T. Heinsohn,23.0,BOS,United States,P. Arizin,1817,29,PHW,United States,M. Stokes,1256.0,24.0,ROC,United States,B. Cousy,478,29,BOS,United States,N. Johnston,13.0,28,PHW,United States
1955-56,NBA,Philadelphia Warriors,B. Pettit,24.0,MLH,United States,M. Stokes,23.0,ROC,United States,B. Pettit,1849,24,MLH,United States,B. Pettit,1164.0,24.0,MLH,United States,B. Cousy,642,28,BOS,United States,N. Johnston,13.0,27,PHW,United States
1954-55,NBA,Syracuse Nationals,,,,,B. Pettit,23.0,MLH,United States,N. Johnston,1631,26,PHW,United States,N. Johnston,1085.0,26.0,PHW,United States,B. Cousy,557,27,BOS,United States,N. Johnston,15.0,26,PHW,United States
1953-54,NBA,Minneapolis Lakers,,,,,R. Felix,24.0,BLB,United States,N. Johnston,1759,25,PHW,United States,H. Gallatin,1098.0,27.0,NYK,United States,B. Cousy,518,26,BOS,United States,N. Johnston,18.0,25,PHW,United States
1952-53,NBA,Minneapolis Lakers,,,,,M. Meineke,23.0,FTW,United States,N. Johnston,1564,24,PHW,United States,G. Mikan,1007.0,29.0,MNL,United States,B. Cousy,547,25,BOS,United States,N. Johnston,15.0,24,PHW,United States
1951-52,NBA,Minneapolis Lakers,,,,,"M. Hutchins, B. Tosheff",24.0,MLH,United States,P. Arizin,1674,24,PHW,United States,L. Foust,880.0,24.0,FTW,United States,A. Phillip,539,30,CHS,United States,P. Arizin,16.0,24,PHW,United States
1950-51,NBA,Rochester Royals,,,,,P. Arizin,23.0,PHW,United States,G. Mikan,1932,27,MNL,United States,D. Schayes,1080.0,23.0,SYR,United States,A. Phillip,414,29,CHS,United States,G. Mikan,23.0,27,MNL,United States
1949-50,NBA,Minneapolis Lakers,,,,,A. Groza,24.0,INO,United States,G. Mikan,1865,26,MNL,United States,,,,,,D. McGuire,386,24,NYK,United States,G. Mikan,21.0,26,MNL,United States
1948-49,BAA,Minneapolis Lakers,,,,,H. Shannon,26.0,PRO,United States,G. Mikan,1698,25,MNL,United States,,,,,,B. Davies,321,29,ROC,United States,G. Mikan,20.0,25,MNL,United States
1947-48,BAA,Baltimore Bullets,,,,,P. Hoffman,23.0,BLB,,M. Zaslofsky,1007,23,CHS,United States,,,,,,H. Dallmar,120,26,PHW,United States,B. Feerick,10.0,28,WSC,United States
1946-47,BAA,Philadelphia Warriors,,,,,,,,,J. Fulks,1389,26,PHW,United States,,,,,,E. Calverley,202,23,PRO,United States,B. Feerick,18.0,27,WSC,United States
